x_h2,phi,t_in,S_L_cm_s,T_ad_K,NO_ppm,NO2_ppm,N2O_ppm,NOx_ppm,grid_points
0.2,1.2,450.0,21.531702748675816,2088.3741347833216,3287.3434722021325,0.0286686780688827,0.8032898632083268,3287.372140880201,222
0.2,1.3,450.0,20.07719032075265,2025.584890779204,3726.848195449888,0.0132028007475764,12.08358054734276,3726.861398250635,223
0.4,0.7,450.0,19.790907222884133,1886.4277837785128,15927.825026879977,15.590562886391837,0.1945226221444929,15943.415589766368,147
0.4,0.8,450.0,26.430181824546484,2021.9744678471395,16935.682423287577,9.91596447067836,0.2483957078266435,16945.598387758255,177
0.4,0.9,450.0,32.669397764275146,2141.3072183318222,15967.932197179274,4.753767307164412,0.3138284158220845,15972.685964486438,190
0.4,1.0,450.0,38.33485708691776,2209.4794358325203,11809.101270798354,0.9408032828242088,0.6007545914194183,11810.04207408118,195
0.4,1.1,450.0,39.93037515174747,2199.0834762755703,6085.403807985663,0.1641958270995365,0.6339355126557441,6085.568003812762,199
0.4,1.2,450.0,38.71398006432568,2152.986072490929,4047.828356084152,0.0488245580496188,0.7688381798104582,4047.877180642201,204
0.4,1.3,450.0,36.82371007329379,2099.006345175909,3232.826142335325,0.0201414759692116,1.1306721412777092,3232.846283811294,212
0.6,0.7,450.0,49.47635918526066,1925.3985123660111,19874.25435021527,18.04638049989635,0.253336727536845,19892.300730715167,144
0.6,0.8,450.0,68.52688345564852,2069.0736998516168,20262.5993944664,10.92435077942844,0.320981234184827,20273.523745245828,162
0.6,0.9,450.0,87.31049475118701,2191.603054566649,19147.02438506631,5.132206331726661,0.4447111640110979,19152.15659139804,165
0.6,1.0,450.0,101.06592532875646,2246.921216898592,15987.818038696389,1.2358259407609804,0.9955376529422209,15989.053864637148,170
0.6,1.1,450.0,104.66791521155264,2229.131024578184,12098.299589195894,0.3378530573684715,1.7633185603346282,12098.637442253264,175
0.6,1.2,450.0,97.18901599319238,2199.8941390582286,8509.192577955933,0.1229853936489931,1.9269325724733837,8509.315563349583,175
0.6,1.3,450.0,84.78471698437855,2166.185583332569,5875.604454579532,0.0516117605852219,1.8225099406428091,5875.656066340117,175
0.0,0.7,600.0,12.597900123483711,1920.6072959775736,14933.854060249876,13.50118363839894,0.2032481614678656,14947.355243888274,126
0.0,0.8,600.0,17.0749952854335,2042.7473444967184,15519.28899449245,8.651975357700769,0.2454985648422032,15527.940969850151,152
0.0,0.9,600.0,21.11410499928424,2152.348170551244,13106.747172284331,3.924979200007859,0.2637464413660325,13110.67215148434,177
0.0,1.0,600.0,25.356475526693504,2231.46911406908,5799.183285401729,0.6361063263503456,0.1696416315267908,5799.81939172808,190
0.0,1.1,600.0,26.937449859952373,2210.834714008686,2232.1500311743366,0.0679385107133174,0.103725688105846,2232.21796968505,197
0.0,1.2,600.0,25.51714858907182,2151.892443476533,1261.893464258275,0.0154182888676703,0.0976796740720812,1261.9088825471424,206
0.0,1.3,600.0,23.369542358829737,2088.4110525134643,987.9972726128904,0.0058560772628582,0.1457875537269247,988.0031286901532,218
0.2,0.7,600.0,21.72174292467037,1955.5748494589293,16475.758035089857,13.98307628455053,0.2338376363557941,16489.74111137441,141
0.2,0.8,600.0,28.28553469212849,2080.0744211413817,17377.146646486603,9.082560713744073,0.2898670494393087,17386.229207200347,168
0.2,0.9,600.0,34.29987004195005,2189.171495196998,15921.181327379109,4.347446618266417,0.3485589869804081,15925.528773997374,181
0.2,1.0,600.0,39.79258494828062,2257.6228658532104,9774.908263309768,0.9446897213978284,0.3673292410785462,9775.852953031166,195
0.2,1.1,600.0,41.804986557690455,2241.22685401389,5333.883561958206,0.1730298757208846,0.4003419393982169,5334.056591833927,197
0.2,1.2,600.0,40.53735168774208,2191.0239266543435,3665.965702791806,0.0528337800346441,0.5076396318042953,3666.0185365718407,206
0.2,1.3,600.0,38.26166401763619,2135.391491271475,2808.056891061472,0.0210752628843897,0.6743260250375877,2808.077966324357,216
0.4,0.7,600.0,41.63075254806439,1991.4731372355693,18974.965261806425,15.137567053610336,0.2782894596607498,18990.10282886004,142
0.4,0.8,600.0,52.976748800653816,2121.3920352102373,19460.17110129583,9.558183920222977,0.3473620796555798,19469.729285216054,156
0.4,0.9,600.0,63.35880959137993,2231.941336856372,17965.343689659905,4.648414567738914,0.4320872312393142,17969.992104227644,164
0.4,1.0,600.0,71.36547027275945,2289.3836336707145,13839.454421752773,1.2551356037954615,0.661549921378522,13840.709557356568,168
0.4,1.1,600.0,72.90584911275727,2275.44347107211,9421.943796941365,0.3289064519191844,0.9085674665683776,9422.272703393282,169
0.4,1.2,600.0,70.7360213164663,2235.211348725773,6981.7629988973895,0.1192740565324204,1.1807225458008617,6981.8822729539215,173
0.4,1.3,600.0,67.85742266888786,2188.8544432978174,5561.868181207456,0.0524361443792449,1.6581862407039458,5561.920617351835,181
0.6,0.7,600.0,108.00587029132178,2037.280027913116,22564.954324010752,16.530589568693088,0.3493859532151289,22581.484913579447,140
0.6,0.8,600.0,140.23347751367902,2173.0774593294527,22605.59657260365,10.099836431105388,0.443499689053095,22615.696409034757,142
0.6,0.9,600.0,166.7913841199949,2282.1818214837044,20956.39619015506,4.87348682292365,0.5840825597785954,20961.269676977983,147
0.6,1.0,600.0,183.0188552001079,2329.3854443113587,17507.07072126516,1.5710930361727655,0.9351075139488764,17508.641814301332,153
0.6,1.1,600.0,185.1777502314683,2317.823232011605,13597.303783372105,0.5307982430692447,1.3577912663206413,13597.834581615174,153
0.6,1.2,600.0,172.9362405242477,2292.422124134392,10011.288070886256,0.2196774702229764,1.4771777867140352,10011.507748356478,153
0.6,1.3,600.0,153.5766956511154,2261.453771932695,7143.715011386341,0.0972661763228121,1.3955221937144282,7143.812277562663,154
